,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
1542,1542,https://www.blablacar.it/passaggio-milano-varese-687324352,2017-01-09,19:50:00,Milano,45.4564488,9.1316098,"Via Francesco Primaticcio, Milano, Italia",Varese,45.8205989,8.8250576,"21100 Varese VA, Italia",3.0,60,3,3,687324352-milano-varese,"[Milano, Varese]",none,no_booking
1543,1543,https://www.blablacar.it/passaggio-milano-como-718074224,2017-01-09,20:10:00,Milano,45.4378921,9.1671772,"Famagosta M2, Milano, MI",Como,45.8080597,9.0851765,Como,3.0,61,1,1,718074224-milano-como,"[Milano, Como]",none,no_booking
1544,1544,https://www.blablacar.it/passaggio-milano-milano-1-714019429,2017-01-09,23:30:00,Milano,45.4836761,9.1703288,"Via Giulio Cesare Procaccini, 32, Milano, MI",Milano,45.4973525,9.1855444,"Piazzale Carlo Maciachini, Milano, MI",1.0,2,3,3,714019429-milano-milano-1,"[Milano, Seveso]",none,no_booking
1545,1545,https://www.blablacar.it/passaggio-milano-bologna-717441449,2017-01-10,06:00:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Bologna,44.494887,11.3426163,"Bologna, BO",15.0,216,4,4,717441449-milano-bologna,"[Milano, Bologna, Grottaminarda]",manual,online
1546,1546,https://www.blablacar.it/passaggio-milano-mendrisio-715378059,2017-01-10,06:10:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Mendrisio,45.871322632,8.984120369,"Mendrisio, Svizzera",5.5,62,2,2,715378059-milano-mendrisio,"[Torino, Milano, Mendrisio]",manual,online
1547,1547,https://www.blablacar.it/passaggio-mailand-florenz-717767659,2017-01-10,06:50:00,Milano,45.4654219,9.1859243,"Mailand, Italien",Firenze,43.7695604,11.2558136,"Firenze, Italien",17.5,318,1,2,717767659-mailand-florenz,"[Gessate, Milano, Firenze]",manual,online
1548,1548,https://www.blablacar.it/passaggio-milano-bologna-716237029,2017-01-10,07:00:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Bologna,44.5164614,11.3598671,"Via Stalingrado, Bologna, BO",14.0,218,2,3,716237029-milano-bologna,"[Milano, Bologna, Terni]",auto,online
1549,1549,https://www.blablacar.it/passaggio-mailand-rimini-716686159,2017-01-10,07:00:00,Milano,45.4654219,9.1859243,"Mailand, Italien",Rimini,44.0678288,12.5695158,"Rimini, Italien",18.5,333,3,3,716686159-mailand-rimini,"[Milano, Rimini]",manual,online
1550,1550,https://www.blablacar.it/passaggio-milano-vicenza-718125149,2017-01-10,07:00:03,Milano,45.4654219,9.1859243,"Milano, Italia",Vicenza,45.5417709,11.5399328,"Stazione ferroviaria, Vicenza",13.0,207,2,2,718125149-milano-vicenza,"[Milano, Vicenza]",manual,online
1551,1551,https://www.blablacar.it/passaggio-milano-brescia-710142644,2017-01-10,07:10:00,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,"Brescia BS, Italia",6.5,96,3,3,710142644-milano-brescia,"[Milano, Brescia]",manual,online
1552,1552,https://www.blablacar.it/passaggio-milano-sassuolo-713394799,2017-01-10,07:20:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Sassuolo,44.54433,10.7847741,"Sassuolo, MO, Italia",9.5,189,3,3,713394799-milano-sassuolo,"[Milano, Sassuolo]",manual,online
1553,1553,https://www.blablacar.it/passaggio-milano-lugano-707015293,2017-01-10,07:30:00,Milano,45.4833311,9.1885137,"Garibaldi-Isola, Milano, MI",Lugano,46.0036778,8.951052,"Lugano, Svizzera",7.5,77,3,4,707015293-milano-lugano,"[Milano, Lugano]",manual,online
1554,1554,https://www.blablacar.it/passaggio-milano-verona-715836664,2017-01-10,07:50:16,Milano,45.48548,9.238142,Lambrate M2,Verona,45.429272,10.981383,Porta Nuova,9.5,156,3,3,715836664-milano-verona,"[Milano, Verona]",manual,online
1555,1555,https://www.blablacar.it/passaggio-milano-padova-718422549,2017-01-10,08:00:00,Milano,45.4874766,9.2158345,"Loreto, Milano, MI",Padova,45.4064349,11.8767611,Padova,14.0,242,3,3,718422549-milano-padova,"[Milano, Padova, Treviso]",manual,online
