,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name
4813,4813,https://www.blablacar.it/passaggio-milano-genova-770249730,2017-03-28,07:30:00,Milano,45.465499878,9.185879707,"Milano, MI",Genova,44.405700684,8.946260452,"Genova, GE",9.5,148,3,3,770249730-milano-genova,"[Milano, Genova]",manual,online,Genova
4814,4814,https://www.blablacar.it/passaggio-milano-cesena-770328245,2017-03-28,07:30:00,Milano,45.48548,9.238142,"Lambrate M2, Milano",Cesena,44.1396438,12.2464292,"Cesena, FC",14.0,302,3,3,770328245-milano-cesena,"[Milano, Cesena]",manual,online,Cesena
4815,4815,https://www.blablacar.it/passaggio-milano-piacenza-765865010,2017-03-28,07:30:50,Milano,45.4873878,9.2152204,"Loreto, Milano, Italia",Piacenza,45.0526206,9.6929845,"Piacenza PC, Italia",6.5,70,4,4,765865010-milano-piacenza,"[Milano, Piacenza]",auto,online,Piacenza
4816,4816,https://www.blablacar.it/passaggio-milano-aosta-764139050,2017-03-28,07:50:00,Milano,45.4841813,9.1664364,"Piazza Gerusalemme, 14, 20154 Milano, Italia",Aosta,45.7359354,7.3157898,"Via Edouard Aubert, 44, 11100 Aosta, Italia",9.5,181,4,4,764139050-milano-aosta,"[Milano, Aosta]",auto,online,Aosta
4817,4817,https://www.blablacar.it/passaggio-milano-modena-770038310,2017-03-28,08:00:02,Milano,45.4514658,9.1604479,"Via Stendhal, 13, 20144 Milano, Italia",Modena,44.6416753,10.9159187,"Via Giardini, 115, 41124 Modena MO, Italia",9.5,181,3,3,770038310-milano-modena,"[Milano, Modena]",manual,online,Modena
4818,4818,https://www.blablacar.it/passaggio-milano-cremona-769903050,2017-03-28,08:00:13,Milano,45.4733336,9.2303468,"Piazzale Paolo Gorini, 20133 Milano, Italia",Cremona,45.1347822,10.0231197,"Giardini Pubblici Papa Giovanni Paolo II, Cremona",6.5,96,3,3,769903050-milano-cremona,"[Milano, Cremona]",auto,online,Cremona
4819,4819,https://www.blablacar.it/passaggio-milano-chiasso-769865720,2017-03-28,08:10:00,Milano,45.4818609,9.1643593,"Corso Sempione, Milano, Italia",Chiasso,45.8356991,9.0268497,"Corso S. Gottardo, 6830 Chiasso, Svizzera",4.0,50,3,3,769865720-milano-chiasso,"[Milano, Chiasso]",manual,online,Chiasso
4820,4820,https://www.blablacar.it/passaggio-milano-courmayeur-769597310,2017-03-28,08:10:00,Milano,45.4372427,9.1681331,"Famagosta, Milano, MI",Courmayeur,45.7969221,6.9689626,"Courmayeur, AO",14.0,226,4,4,769597310-milano-courmayeur,"[Genova, Milano, Courmayeur, Ginevra]",manual,online,Courmayeur
4821,4821,https://www.blablacar.it/passaggio-milano-bologna-768993415,2017-03-28,08:10:38,Milano,45.439506146,9.224642515,"Corvetto M3, Milano",Bologna,44.5054929,11.3427917,"Bologna Stazione Centrale, Bologna, BO",10.5,207,2,3,768993415-milano-bologna,"[Milano, Bologna]",auto,online,Bologna
4822,4822,https://www.blablacar.it/passaggio-milano-verona-765861875,2017-03-28,08:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Verona,45.4383842,10.9916215,"Verona, VR",10.5,160,2,3,765861875-milano-verona,"[Milano, Verona, Feltre]",manual,online,Verona
4823,4823,https://www.blablacar.it/passaggio-milano-brescia-770544660,2017-03-28,09:00:00,Milano,45.465423584,9.18592453,"Milano, Italia",Brescia,45.532810211,10.214351654,"Viale della Stazione, Brescia BS, Italia",6.5,91,3,3,770544660-milano-brescia,"[Milano, Brescia]",auto,online,Brescia
4824,4824,https://www.blablacar.it/passaggio-milaan-luzern-763949445,2017-03-28,09:00:00,Milano,45.47903,9.1443735,"Lotto M1-M5, Milano",Lucerna,47.0501682,8.3093072,"Luzern, Zwitserland",14.0,239,1,2,763949445-milaan-luzern,"[Milano, Lucerna, Heidelberg]",manual,online,Lucerna
4825,4825,https://www.blablacar.it/passaggio-milano-perugia-768654985,2017-03-28,09:00:00,Milano,45.4876645,9.1898099,"Isola, Milano, MI",Perugia,43.104174,12.376086,"Stazione Ferroviaria, Perugia",24.0,451,3,3,768654985-milano-perugia,"[Milano, Perugia]",auto,online,Perugia
4826,4826,https://www.blablacar.it/passaggio-milano-novara-770242540,2017-03-28,09:00:39,Milano,45.4807212,9.1875632,"Porta Garibaldi, Milano, Italia",Novara,45.446785,8.6218585,"Corso Italia, 1, 28100 Novara NO, Italia",4.0,51,4,4,770242540-milano-novara,"[Milano, Novara]",auto,online,Novara
4827,4827,https://www.blablacar.it/passaggio-milano-santuario-767012645,2017-03-28,09:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Santuario,44.3425496,8.4293891,"17100 Savona SV, Italia",9.5,188,2,2,767012645-milano-santuario,"[Milano, Santuario]",manual,online,Santuario
4828,4828,https://www.blablacar.it/passaggio-milano-chamonix-mont-blanc-769870825,2017-03-28,09:30:00,Milano,45.4682808,9.1610952,"Pagano, 20145 Milano, Italia",Chamonix-Mont-Blanc,45.923698425,6.869432926,Chamonix-Mont-Blanc,17.5,237,2,3,769870825-milano-chamonix-mont-blanc,"[Milano, Chamonix-Mont-Blanc, Annecy]",manual,online,Chamonix-Mont-Blanc
4829,4829,https://www.blablacar.it/passaggio-milano-piombino-767232720,2017-03-28,09:30:00,Milano,45.437393188,9.168777466,"Famagosta M2, Milano",Piombino,42.9306193,10.5260661,"Q8, Piombino",30.5,383,2,2,767232720-milano-piombino,"[Milano, Piombino]",manual,online,Piombino
4830,4830,https://www.blablacar.it/passaggio-milano-pordenone-769946655,2017-03-28,09:30:09,Milano,45.4655639,9.1279961,"Piazzale Giuseppe Perrucchetti, 20147 Milano, Italia",Pordenone,45.9626398,12.6551362,"33170 Pordenone PN, Italia",23.0,350,2,2,769946655-milano-pordenone,"[Milano, Pordenone]",manual,online,Pordenone
4831,4831,https://www.blablacar.it/passaggio-milano-varese-767012725,2017-03-28,09:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Varese,45.8205989,8.8250576,"Varese, VA",5.5,60,2,2,767012725-milano-varese,"[San Miniato, Milano, Varese]",manual,online,Varese
4832,4832,https://www.blablacar.it/passaggio-milano-malpensa-terminal-2-mxp-t2-21019-somma-lombardo-va-italia-768155730,2017-03-28,09:40:00,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia","Malpensa - Terminal 2 - MXP T2, 21019 Somma lombardo VA, Italia",45.6489899,8.7227449,"Malpensa - Terminal 2 - MXP T2, 21019 Somma lombardo VA, Italia",5.5,56,3,3,768155730-milano-malpensa-terminal-2-mxp-t2-21019-somma-lombardo-va-italia,"[Rimini, Milano]",manual,online,Ferno
4833,4833,https://www.blablacar.it/passaggio-milano-casello-piacenza-sud-29122-piacenza-pc-italia-767718155,2017-03-28,10:00:00,Milano,45.484249115,9.234829903,"Lambrate Fs, 20131 Milano, Italia","Casello Piacenza Sud, 29122 Piacenza PC, Italia",45.0477148,9.7469664,"Casello Piacenza Sud, 29122 Piacenza PC, Italia",6.5,69,1,2,767718155-milano-casello-piacenza-sud-29122-piacenza-pc-italia,"[Milano, Pisa]",auto,online,Piacenza
4834,4834,https://www.blablacar.it/passaggio-milano-bologna-769983880,2017-03-28,10:00:39,Milano,45.4810039,9.2250039,"Piola, 20131 Milano, Italia",Bologna,44.494887,11.3426163,Bologna,9.5,214,3,3,769983880-milano-bologna,"[Milano, Bologna, San Benedetto Del Tronto]",auto,online,Bologna
4835,4835,https://www.blablacar.it/passaggio-milano-firenze-770274085,2017-03-28,10:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Firenze,43.7695604,11.2558136,"Firenze, Italia",15.0,318,2,3,770274085-milano-firenze,"[Milano, Firenze]",auto,online,Firenze
4836,4836,https://www.blablacar.it/passaggio-milano-san-benedetto-del-tronto-766133775,2017-03-28,11:00:07,Milano,45.48443985,9.202612877,"Centrale FS, Milano",San Benedetto Del Tronto,42.950653076,13.881065369,"San Benedetto del Tronto, San Benedetto del Tronto",30.5,508,1,4,766133775-milano-san-benedetto-del-tronto,"[Milano, San Benedetto Del Tronto]",manual,online,San Benedetto Del Tronto
4837,4837,https://www.blablacar.it/passaggio-milano-imperia-769069825,2017-03-28,11:00:21,Milano,45.47201,9.22647,"Via Colombo Giuseppe, 33, 20133 Milano, Italia",Imperia,43.8920534,8.0451929,"Via Don Giovanni Minzoni, 31a, 18100 Imperia IM, Italia",15.0,251,2,3,769069825-milano-imperia,"[Milano, Imperia]",auto,online,Imperia
4838,4838,https://www.blablacar.it/passaggio-milano-recco-768219525,2017-03-28,11:30:06,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Recco,44.3620945,9.1434706,"Piazza Nicoloso da Recco, 4, 16036 Recco GE, Italia",12.0,157,1,3,768219525-milano-recco,"[Milano, Recco]",manual,online,Recco
4839,4839,https://www.blablacar.it/passaggio-milano-bergamo-768952710,2017-03-28,11:50:00,Milano,45.46549,9.18588,"Milano, MI",Bergamo,45.698349,9.6771141,"Bergamo, BG",5.5,51,2,3,768952710-milano-bergamo,"[Torino, Milano, Bergamo, Padova]",manual,online,Bergamo
4840,4840,https://www.blablacar.it/passaggio-milano-genova-769435405,2017-03-28,12:00:00,Milano,45.4708151,9.1439826,"Piazzale Brescia, 2, 20149 Milano, Italia",Genova,44.4063841,8.943211,"Via Colombo, 111, 16121 Genova, Italia",8.5,141,1,1,769435405-milano-genova,"[Milano, Genova]",manual,online,Genova
4841,4841,https://www.blablacar.it/passaggio-mailand-muenchen-770452070,2017-03-28,12:00:00,Milano,45.46549,9.18588,"Mailand, Italien",Monaco Di Baviera,48.1793598,11.5557934,"Olympiazentrum, München",46.0,496,4,4,770452070-mailand-muenchen,"[Milano, Monaco Di Baviera, Berlino]",manual,online,Monaco Di Baviera
4842,4842,https://www.blablacar.it/passaggio-milano-genova-770293370,2017-03-28,12:50:00,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Genova,44.4168921,8.9215322,"Genova Piazza Principe, 16134 Genova, Italia",8.5,138,3,3,770293370-milano-genova,"[Milano, Genova]",auto,online,Genova
